        Frequency / GHz                Eps' (Fit)/real
               63.422821                       22.429575
                63.49279                         22.4279
               63.562763                       22.426229
               63.632729                       22.424566
               63.702702                       22.422907
               63.772671                       22.421251
               63.842644                       22.419603
               63.912609                       22.417959
               63.982582                       22.416321
               64.052551                       22.414688
                64.12252                       22.413059
                64.19249                       22.411438
               64.262459                       22.409821
               64.332428                       22.408207
               64.402405                       22.406599
               64.472366                       22.404997
               64.542343                         22.4034
               64.612312                       22.401808
               64.682281                       22.400221
               64.752251                       22.398638
                64.82222                        22.39706
               64.892189                       22.395489
               64.962158                       22.393921
               65.032127                       22.392357
               65.102104                         22.3908
               65.172066                       22.389246
               65.242043                       22.387699
               65.312012                       22.386156
               65.381981                       22.384617
                65.45195                       22.383083
               65.517853                       22.381643
               65.521919                       22.381554
               65.591888                        22.38003
               65.661858                       22.378511
               65.731834                       22.376997
               65.801804                       22.375486
               65.871773                       22.373981
               65.941742                        22.37248
               66.011711                       22.370983
                66.08168                       22.369492
               66.151649                       22.368006
               66.221619                       22.366524
               66.291588                       22.365046
               66.361557                       22.363571
               66.431534                       22.362103
               66.501495                        22.36064
               66.571472                       22.359179
               66.641441                       22.357723
               66.711411                       22.356274
                66.78138                       22.354826
               66.851349                       22.353384
               66.921318                       22.351948
               66.991287                       22.350513
               67.061256                       22.349085
               67.131233                        22.34766
               67.201195                       22.346239
               67.271172                       22.344824
               67.341141                       22.343412
                67.41111                       22.342005
               67.481079                       22.340601
               67.551048                       22.339203
               67.621017                       22.337809
               67.690987                       22.336416
               67.760956                       22.335032
               67.830933                       22.333649
               67.900894                        22.33227
               67.970871                       22.330896
                68.04084                       22.329527
               68.110809                       22.328161
               68.180779                       22.326799
               68.250748                       22.325441
               68.320717                       22.324089
               68.390686                       22.322739
               68.460655                       22.321394
               68.530632                       22.320053
               68.600601                       22.318714
                68.67057                       22.317381
                68.74054                       22.316051
               68.810509                       22.314726
               68.880478                       22.313404
               68.950447                       22.312086
               69.020416                       22.310774
               69.090393                       22.309464
               69.160362                       22.308157
               69.230331                       22.306854
               69.300293                       22.305557
                69.37027                       22.304262
               69.440239                       22.302971
               69.510208                       22.301683
               69.580177                         22.3004
               69.650154                       22.299122
               69.720116                       22.297846
               69.790085                       22.296574
               69.860054                       22.295305
               69.930031                       22.294041
                      70                        22.29278
                      70                        22.29278


        Frequency / GHz                Eps'' (Fit)/real
----------------------------------------------------------------------
             0.099999994                       144.09422
               0.1068411                       136.27605
              0.11415021                       128.92006
              0.12195934                       121.99254
              0.13030271                       115.46207
              0.13921684                       109.29968
              0.14874083                         103.479
              0.15891632                       97.976273
              0.16978796                        92.77034
              0.16996996                       92.688385
              0.18140334                       87.842499
              0.19381332                       83.176346
               0.2070723                       78.757507
              0.22123833                       74.573372
              0.23637347                       70.612785
              0.23993993                       69.746429
              0.25254402                       66.865738
              0.26982084                       63.323135
              0.28827953                       59.976479
              0.30800104                       56.817696
              0.30990991                       56.532074
               0.3290717                       53.838963
              0.35158384                        51.03257
              0.37563604                       48.390846
              0.37987986                       47.958153
              0.40133372                       45.906113
              0.42878938                       43.570675
              0.44984984                       41.967354
               0.4581233                       41.376842
              0.48946396                       39.316978
               0.5198198                       37.553883
              0.52294868                       37.383564
              0.55872416                       35.569279
              0.58978975                       34.169319
              0.59694707                       33.867081
              0.63778484                       32.270294
